site,contact_page,notes
Health-Tech (health-tech.us),https://www.health-tech.us/contact-us/,Hospital transformation / consulting
HealthTech USA (healthtechusa.com),https://healthtechusa.com/contact-us/,Mental / brain health tech
HealthTech Magazine (healthtechmagazine.net),https://www.healthtechmagazine.net/contact-healthtech,Health IT news / publication
HealthTech Academy (healthtechacademy.org),https://www.healthtechacademy.org/contact-us,Health / tech training programs
HealthTech Solutions (healthtechsolutions.com),https://healthtechsolutions.com/contact/,Health IT / consulting
HealthTech Magazines (healthtechmagazines.com),https://www.healthtechmagazines.com/contact-us,Media / publishing in health-tech
USHEALTH Group (ushealthgroup.com),https://www.ushealthgroup.com/contact-us,Health insurance / group health
Penn Health-Tech (healthtech.upenn.edu),https://healthtech.upenn.edu/contact-us,University research / health devices center
AdaptHealth (adapthealth.com),https://adapthealth.com/contact/,Medical equipment / home health services
Health In Tech (healthintech.com),https://healthintech.com/contact/,Healthcare benefits / health-tech solutions
